product_id,product_name,average_price,minimum_price,maximum_price,survey_date
prod-334455667,Luminária de Mesa Retrô,70.0,60.0,80.0,2024-04-25
prod-998866554,Kit de Ferramentas Completo,250.0,230.0,270.0,2024-04-26
prod-223344556,Tênis de Corrida Alta Performance,150.0,140.0,160.0,2024-04-27
prod-665544332,Conjunto de Panelas Antiaderente,120.0,110.0,130.0,2024-04-28
prod-112233887,Mochila de Viagem Resistente,90.0,85.0,95.0,2024-04-29
prod-987654321,Vaso de Cerâmica,35.0,30.0,40.0,2024-04-30
prod-123456789,Colar de Âmbar,120.0,110.0,130.0,2024-05-01
prod-112233445,Mesa de Centro Moderna,450.0,430.0,470.0,2024-05-02
prod-223344556,Luminária de Mesa LED,89.0,80.0,100.0,2024-05-03
prod-334455667,Tapete Oriental,600.0,580.0,620.0,2024-05-04
prod-445566778,Conjunto de Canecas de Porcelana,70.0,65.0,75.0,2024-05-05
prod-556677889,Cadeira Ergonômica de Escritório,980.0,960.0,1000.0,2024-05-06
prod-667788990,Bicicleta Mountain Bike,1200.0,1180.0,1220.0,2024-05-07
prod-778899001,Jaqueta Impermeável,299.0,290.0,310.0,2024-05-08
prod-889900112,Smartwatch Fitness,199.0,190.0,210.0,2024-05-09
prod-990011223,Mochila de Viagem,150.0,140.0,160.0,2024-05-10
prod-001122334,Conjunto de Panelas Antiaderentes,220.0,210.0,230.0,2024-05-11
